"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
86	9.435399	15.679467	182.801399	0.593435	0.051262	-0.803248	-0.415848	0.873981	-0.251450	0.689134	0.483248	0.539968
87	12.916200	15.704380	179.230218	0.764652	-0.011025	-0.644349	-0.583980	0.410983	-0.700043	0.272535	0.911576	0.307821
88	16.725218	15.699011	175.992404	0.736367	0.001665	-0.676580	-0.676581	-0.000010	-0.736368	-0.001233	0.999999	0.001119
89	20.408729	15.700000	172.611318	0.736773	0.000000	-0.676140	-0.676140	0.000060	-0.736773	0.000040	1.000000	0.000044
90	24.092602	15.700000	169.230626	0.736776	0.000000	-0.676137	-0.676137	0.000079	-0.736776	0.000053	1.000000	0.000058
91	27.776485	15.700000	165.849945	0.736777	0.000000	-0.676135	-0.676135	0.000072	-0.736777	0.000048	1.000000	0.000053
92	31.460375	15.700001	162.469271	0.736778	0.000000	-0.676134	-0.676134	0.000049	-0.736778	0.000033	1.000000	0.000036
93	35.144266	15.700001	159.088599	0.736778	0.000000	-0.676135	-0.676135	0.000022	-0.736778	0.000015	1.000000	0.000016
94	38.828155	15.700001	155.707924	0.736777	0.000000	-0.676136	-0.676136	0.000001	-0.736777	0.000001	1.000000	0.000001
95	42.512037	15.700001	152.327241	0.736775	0.000000	-0.676138	-0.676138	-0.000002	-0.736775	-0.000001	1.000000	-0.000002
96	46.222457	15.701304	148.975842	0.748872	0.001194	-0.662714	-0.661217	-0.065859	-0.747299	-0.044538	0.997828	-0.048530
97	49.975009	15.742226	145.672050	0.743884	0.025356	-0.667828	-0.637599	-0.272510	-0.720559	-0.200261	0.961819	-0.186548
98	53.571034	16.040848	142.215040	0.679481	0.105593	-0.726054	-0.584409	-0.520410	-0.622607	-0.443589	0.847363	-0.291900
99	56.595460	16.859534	138.331489	0.517744	0.217374	-0.827459	-0.487206	-0.720119	-0.494023	-0.703258	0.658921	-0.266932
100	58.636432	18.145239	133.967091	0.289348	0.286151	-0.913452	-0.362951	-0.850217	-0.381311	-0.885745	0.441870	-0.142150
101	59.420826	19.608877	129.267602	0.017888	0.288543	-0.957300	-0.230902	-0.930379	-0.284743	-0.972813	0.226136	0.049982
102	58.722334	20.912982	124.515511	-0.302619	0.222290	-0.926827	-0.116420	-0.973762	-0.195535	-0.945975	0.048729	0.320558
103	56.426679	21.743455	120.182242	-0.605323	0.104663	-0.789069	-0.052490	-0.994409	-0.091632	-0.794247	-0.014048	0.607432
104	52.813719	21.948736	116.765850	-0.821569	-0.019387	-0.569780	-0.041524	-0.994732	0.093721	-0.568595	0.100658	0.816436
105	48.385805	21.608587	114.502282	-0.934183	-0.108684	-0.339838	-0.050315	-0.902829	0.427045	-0.353228	0.416038	0.837940
106	43.586190	20.971779	113.282607	-0.977464	-0.132272	-0.164522	-0.064238	-0.556020	0.828683	-0.201089	0.820577	0.534993
107	38.661914	20.395760	112.642178	-0.988971	-0.091612	-0.116377	-0.116161	-0.007707	0.993200	-0.091886	0.995765	-0.003020
108	33.727983	20.077205	111.910058	-0.980865	-0.037412	-0.191061	-0.189322	0.412132	0.891237	0.045399	0.910356	-0.411329
109	28.895190	19.992859	110.646432	-0.947837	0.001140	-0.318752	-0.275098	0.502206	0.819823	0.161014	0.864747	-0.475696
110	24.278232	20.091213	108.739591	-0.898588	0.039102	-0.437048	-0.416168	0.239764	0.877108	0.139085	0.970043	-0.199176
111	19.866482	20.378942	106.405985	-0.875763	0.075474	-0.476805	-0.480971	-0.220916	0.848447	-0.041298	0.972368	0.229771
112	15.402663	20.855937	104.211043	-0.918546	0.115681	-0.378010	-0.371379	-0.580196	0.724879	-0.135465	0.806220	0.575898
113	10.672977	21.561773	102.782927	-0.968234	0.171125	-0.182319	-0.249785	-0.695296	0.673922	-0.011441	0.698054	0.715953
114	5.816854	22.644033	102.429636	-0.962103	0.270351	0.035610	-0.164548	-0.679726	0.714770	0.217444	0.681823	0.698453
115	1.151151	24.298292	103.057493	-0.898662	0.384385	0.211318	-0.200007	-0.787835	0.582506	0.390390	0.481211	0.784877
116	-3.150264	26.358098	104.534517	-0.824971	0.420224	0.377934	-0.390591	-0.907226	0.156143	0.408487	-0.018804	0.912571
117	-7.160328	28.281742	106.804506	-0.787899	0.328243	0.521029	-0.564349	-0.723464	-0.397631	0.246426	-0.607336	0.755260
118	-11.110086	29.515253	109.599080	-0.798047	0.161019	0.580685	-0.600234	-0.297651	-0.742377	0.053305	-0.940998	0.334189
119	-15.185832	29.932564	112.456204	-0.834797	0.013202	0.550399	-0.550532	-0.010398	-0.834749	-0.005297	-0.999859	0.015948
120	-19.459326	29.694437	115.032267	-0.869900	-0.110226	0.480753	-0.468932	-0.117312	-0.875409	0.152891	-0.986959	0.050361
121	-23.804467	28.782928	117.321169	-0.856353	-0.259431	0.446491	-0.276149	-0.500548	-0.820484	0.436349	-0.825922	0.357004
122	-27.874814	27.091685	119.664824	-0.755399	-0.411068	0.510289	0.077230	-0.829177	-0.553625	0.650698	-0.378798	0.658107
123	-31.218061	24.809708	122.577549	-0.573000	-0.482949	0.662141	0.454473	-0.859568	-0.233658	0.682001	0.167039	0.712021
124	-33.592256	22.454377	126.275914	-0.370447	-0.442174	0.816854	0.674676	-0.732537	-0.090563	0.638421	0.517563	0.569690
125	-34.868902	20.530054	130.690276	-0.136520	-0.314559	0.939369	0.781575	-0.616844	-0.092970	0.608689	0.721496	0.330063
126	-34.993021	19.446326	135.550321	0.075552	-0.108476	0.991224	0.890539	-0.439865	-0.116014	0.448590	0.891488	0.063369
127	-34.248342	19.458905	140.480980	0.208279	0.103417	0.972587	0.966630	-0.173408	-0.188564	0.149153	0.979405	-0.136083
128	-33.048248	20.279302	145.262107	0.259355	0.199096	0.945037	0.951604	0.114370	-0.285253	-0.164877	0.973283	-0.159798
129	-31.720385	21.197112	149.993554	0.270643	0.143579	0.951912	0.888045	0.344512	-0.304448	-0.371657	0.927737	-0.034265
130	-30.365728	21.525758	154.789103	0.267147	-0.023138	0.963378	0.873812	0.427325	-0.232047	-0.406306	0.903802	0.134376
131	-29.100366	20.942788	159.583421	0.238315	-0.204873	0.949333	0.946384	0.268498	-0.179631	-0.218092	0.941242	0.257876
132	-27.889411	19.572982	164.233115	0.264253	-0.325648	0.907813	0.946990	-0.090705	-0.308194	0.182706	0.941130	0.284417
133	-26.299402	17.889118	168.660273	0.387703	-0.322011	0.863710	0.779401	-0.385764	-0.493680	0.492159	0.864578	0.101414
134	-23.925023	16.537685	172.835908	0.560195	-0.205865	0.802372	0.653080	-0.486101	-0.580683	0.509576	0.849309	-0.137865
135	-20.748201	15.921232	176.630860	0.704820	-0.032143	0.708658	0.632094	-0.424995	-0.647948	0.322003	0.904625	-0.279227
136	-16.981901	16.260070	179.881870	0.789230	0.169364	0.590281	0.612746	-0.280928	-0.738662	0.040724	0.944667	-0.325494
137	-12.988574	17.614517	182.547418	0.794556	0.372175	0.479757	0.556143	-0.128960	-0.821021	-0.243694	0.919160	-0.309448
138	-9.150179	19.918400	184.757708	0.735156	0.535959	0.415083	0.504142	-0.022904	-0.863317	-0.453196	0.843933	-0.287038
139	-5.600094	22.787451	186.796235	0.698905	0.588394	0.406601	0.502179	0.001085	-0.864763	-0.509262	0.808574	-0.294720
140	-2.023796	25.578998	188.893032	0.742533	0.506590	0.438190	0.507606	0.001234	-0.861588	-0.437013	0.862186	-0.256232
141	1.886350	27.639031	191.207345	0.821281	0.296439	0.487465	0.510417	-0.000039	-0.859927	-0.254897	0.955052	-0.151340
142	6.069572	28.380802	193.805347	0.837789	-0.004864	0.545973	0.541015	-0.127339	-0.831316	0.073567	0.991847	-0.104051
143	10.156744	27.662242	196.567877	0.795686	-0.263418	0.545430	0.409634	-0.429307	-0.804920	0.446188	0.863890	-0.233689
144	14.136203	26.053878	199.126480	0.811827	-0.352004	0.465865	0.130791	-0.667953	-0.732620	0.569061	0.655692	-0.496224
